query_terms	rank	type	judgments	majority_voting	JAP
volcano new zealand 	1	 text_auto 	 1 1 1 1 	1	1
ebola australia 	125	 text_auto 	 3 2 1 	3	0.3333333333
asylum seekers Immigration 	1	 text_auto 	 1 1 1 	1	1
child sex abuse sydney school 	14	 text_auto 	 1 1 1 	1	1
Renewable Energy Target 	1	 text_auto 	 1 1 1 1 2 	1	0.8
air attack to islamic state 	81	 text_auto 	 1 3 1 	1	0.6666666667
productivity commission's reportÂ childcare system 	1	 text_auto 	 1 1 1 1 1 	1	1
floral tribute martin place 	6	 text_auto 	 1 2 1 	1	0.6666666667
free trade china australia 	7	 text_auto 	 2 1 1 	1	0.6666666667
malcolm fraser died 	3	 text_auto 	 1 1 1 1 	1	1
australian arrested in bali to be executed 	4	 text_auto 	 2 2 3 	2	0
aboriginal women died police custody 	1	 text_auto 	 1 1 1 	1	1
cuba americaÂ re-establishing diplomatic relations 	2	 text_auto 	 1 1 1 	1	1
Royal commission Mangrove Mountain Yoga Ashram 	7	 text_auto 	 1 1 1 1 	1	1
News Corp Nova Peris leaked email 	3	 text_auto 	 1 1 2 	1	0.6666666667
Freedom Ride Perkins 	2	 text_auto 	 1 2 1 	1	0.6666666667
Children in immigration detention centers australia 	1	 text_auto 	 1 1 1 	1	1
Inflamatory deseases university of queensland treatment breakthrough 	2	 text_auto 	 1 1 1 1 	1	1
IS extremists Kobane US airstrikes 	2	 text_auto 	 2 2 1 	2	0.3333333333
Jim Byrnes trade union commision 	1	 text_auto 	 1 1 3 	1	0.6666666667
Sex abuse New Sounth Wales ashram 	13	 text_auto 	 1 1 1 	1	1
Tony Abbott offending indigenous people 	1	 text_auto 	 1 1 2 	1	0.6666666667
Dog show Crufts controversy 	1	 text_auto 	 2 1 2 	2	0.3333333333
Black Saturday AusNet payout 	2	 text_auto 	 1 2 2 2 	2	0.25
Germanwings Andreas Lubitz 	3	 text_auto 	 2 2 2 	2	0
heart transplant of stopped heart 	1	 text_auto 	 1 1 1 	1	1
ABS accepts recommendations 	1	 text_auto 	 1 2 1 	1	0.6666666667
interest rate cuts 	30	 text_auto 	 2 1 2 	2	0.3333333333
labour plan to build submarines in australia 	1	 text_auto 	 1 1 1 1 	1	1
nanomaterials excluded in food standards 	13	 text_auto 	 1 3 2 	3	0.3333333333
financial dealing of west australian minister 	134	 text_auto 	 2 2 2 2 	2	0
bangkok bombing 	1	 text_auto 	 2 2 1 1 	1	0.5
northern territory chief minister dumped 	3	 text_auto 	 1 1 1 	1	1
hospital bed shortage adelaide 	1	 text_auto 	 2 3 2 	2	0
adelaide fringe festival 	2	 text_auto 	 1 2 1 	1	0.6666666667
US police shoot 12 year old boy toy gun 	1	 text_auto 	 1 2 1 1 	1	0.75
Clive James poetry new book voice Japanese Maple 	1	 text_auto 	 2 2 1 	2	0.3333333333
royal commission Hutchins child abuse 	5	 text_auto 	 1 2 1 3 	1	0.5
pro-democracy protests Hong Kong 	10	 text_auto 	 1 1 1 	1	1
royal commission Hutchins child abuse apology Anglican church 	3	 text_auto 	 2 1 1 	1	0.6666666667
