query_terms	preference_comparison	preference_judgment
volcano new zealand	text_auto vs. text_metadata	metadata
volcano new zealand	text_auto vs. text_metadata	metadata
volcano new zealand	text_auto vs. text_metadata	metadata
ebola australia	text_auto vs. text_metadata	metadata
ebola australia	text_auto vs. text_metadata	metadata
ebola australia	text_auto vs. text_metadata	corrected
asylum seekers Immigration	text_auto vs. text_metadata	metadata
asylum seekers Immigration	text_auto vs. text_metadata	corrected
asylum seekers Immigration	text_auto vs. text_metadata	metadata
child sex abuse sydney school	text_auto vs. text_metadata	metadata
child sex abuse sydney school	text_auto vs. text_metadata	metadata
child sex abuse sydney school	text_auto vs. text_metadata	metadata
Renewable Energy Target	text_auto vs. text_metadata	metadata
Renewable Energy Target	text_auto vs. text_metadata	metadata
Renewable Energy Target	text_auto vs. text_metadata	metadata
air attack to islamic state	text_auto vs. text_metadata	No preference
air attack to islamic state	text_auto vs. text_metadata	metadata
air attack to islamic state	text_auto vs. text_metadata	corrected
productivity commission's reportÂ childcare system	text_auto vs. text_metadata	metadata
productivity commission's reportÂ childcare system	text_auto vs. text_metadata	metadata
productivity commission's reportÂ childcare system	text_auto vs. text_metadata	metadata
floral tribute martin place	text_auto vs. text_metadata	metadata
floral tribute martin place	text_auto vs. text_metadata	metadata
floral tribute martin place	text_auto vs. text_metadata	metadata
free trade china australia	text_auto vs. text_metadata	metadata
free trade china australia	text_auto vs. text_metadata	metadata
free trade china australia	text_auto vs. text_metadata	metadata
malcolm fraser died	text_auto vs. text_metadata	metadata
malcolm fraser died	text_auto vs. text_metadata	metadata
malcolm fraser died	text_auto vs. text_metadata	metadata
australian arrested in bali to be executed	text_auto vs. text_metadata	No preference
australian arrested in bali to be executed	text_auto vs. text_metadata	metadata
australian arrested in bali to be executed	text_auto vs. text_metadata	metadata
aboriginal women died police custody	text_auto vs. text_metadata	corrected
aboriginal women died police custody	text_auto vs. text_metadata	No preference
aboriginal women died police custody	text_auto vs. text_metadata	metadata
cuba america re-establishing diplomatic relations 	text_auto vs. text_metadata	metadata
cuba america re-establishing diplomatic relations 	text_auto vs. text_metadata	corrected
cuba america re-establishing diplomatic relations 	text_auto vs. text_metadata	corrected
Royal commission Mangrove Mountain Yoga Ashram	text_auto vs. text_metadata	metadata
Royal commission Mangrove Mountain Yoga Ashram	text_auto vs. text_metadata	metadata
Royal commission Mangrove Mountain Yoga Ashram	text_auto vs. text_metadata	metadata
News Corp Nova Peris leaked email	text_auto vs. text_metadata	metadata
News Corp Nova Peris leaked email	text_auto vs. text_metadata	metadata
News Corp Nova Peris leaked email	text_auto vs. text_metadata	metadata
Freedom Ride Perkins	text_auto vs. text_metadata	metadata
Freedom Ride Perkins	text_auto vs. text_metadata	metadata
Freedom Ride Perkins	text_auto vs. text_metadata	corrected
Children in immigration detention centers australia	text_auto vs. text_metadata	No preference
Children in immigration detention centers australia	text_auto vs. text_metadata	metadata
Children in immigration detention centers australia	text_auto vs. text_metadata	metadata
