query_id	query_terms	doc_id	audio_filename	summary_type	summary	rank
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	1dcec3da32a806e23dc1c7fb92808ab1	20141128-twt03-childdetentionlive	text_auto	on immigration minister scott morrison to release old children from immigration detention centers a mediately	1
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	f8d8a7f6b45151cb637a11c876044727	20150212-am02-morrison	text_auto	with children coming on but that we stopped about coming and we got the children out of detention  So	2
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	e0fbd62289cecb6eed2c7b51cde4f777	20150212-pm04-childrendetention	text_auto	files seeking children not be immigration minister and over many children in detention and the family	3
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	2b0b018508fae2130ddb3ebf675b08db	150320-pm05-mossreview	text_auto	a string if changes to the way the nowru detention center upper right he was investigating allegations	4
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	62fde5590b79c0e253a43949a0245753	20150224-eam02-childrenindetention	text_auto	When the forgotten children report to immigration detention was released recently of course the political	5
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	cc32eb4316f84a73f4da4caa12fe4783	20150325-pm02-nauruinquiry	text_auto	Fiesta in funded immigration detention center on my room looks set to be the subject of another inquiries	6
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	9f008f4164a7857ef788c24d4ec91a36	20150212-eam01-kidsdetention	text_auto	ve inquiry in a decade into the detention of asylum seekers children has found courses such significant	7
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	70ac5db2126dd9f89ab18e7539a73b22	20141111-twt02-detentionteam	text_auto	misconduct by the service provider is running detention center is the greens of welcome  This is a city meeting	8
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	f5868fb358f8e0c1fed9e32374f7bbe4	20141003-twt01-nauruallegations	text_auto	charity stop working in the detention center on route ten stops from psychic children have been accused of	9
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	49a8c6025a77d0a8accac0e8677219a9	20150212-twt04-nauruchildren	text_auto	ion to release all children from immigration detention including the 119 children in never answer  The	10
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	4688d506eea6bfac8b54572c9ec02149	20141029-eam03-koalarescue	text_auto	Queensland research is a tiny a breakthrough in the fight take this try is its ranking qualifications	1
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	1f3c8f2a57677551eadb2a62706e768a	20150217-am09-qldresearch	text_auto	justices researchers  Say the breakthrough could lead to face a cheaper treatment city snow report rishel then	2
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	22f78bcb4675120a50ea7edf23bc77f	20141126-am06-soldiersaver	text_auto	Queensland sontas either on the brink of living how will first treatment to say soldiers injured in battle	3
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	46d7f7c71b7b69231761251f905e7781	20150203-twt09breastcancer	text_auto	I talk to mistake that this offer a breakthrough in treatment options sunsetter dot report for breast	4
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	64396859ae0580d9218bdc487c9d9085	20141111-twt09-sarcomastudy	text_auto	Send sms it is on covering  This is too secretive some time is wilson condo can't seem to connect it	5
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	2b739bcc1aad5094324f6b38f05c0cfb	20150223-rnam06-strokeresearch	text_auto	stroke victims from brain damage that having a breakthrough which reduce your risk of sustaining serious	6
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	e6eac228d679e95e8d7cf63f2de8e3db	20150325-pm05-ketaminclinic	text_auto	bars and the university said a kind of private statement about success academy in treatment to santa maybe	7
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	6827bc72f81ebc4308954f60073e435d	20141104-twt11-antiageing	text_auto	causes us to agent first person to sing this is a breakthrough should be used to develop drugs to crystal	8
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	45ec66b6510edacf5fbc1cfeea2bcc2f	20141024-twt04-cancertrials	text_auto	phrase take putting clinical trials to test new treatments to many is represent a last flight from crandall	9
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	2265d9a818723967e4f6fe7fe8ece2d7	20150226-twt09-cancergenome	text_auto	release about matt you are treatments patients and taking opportunities for treatments or nearby lol maybe use	10
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	f8f8fdb1e47541b15c14e56d01f7a2fd	20141218-twt09-hutchinsbraveheart	text_auto	into child sexual abuse won't be hearing from a former ilyjp and fall at how about action schools despite	11
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	76feedc3a84b2c74a104348b2a0e48a3	20130204-twt05-royalcommision	text_auto	Dallas location in child sexual abuse in today one witnesses told the hearing that he was sexually assaulted	12
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	e44e18ab8ab0c63ae9ecf611bb44e1cd	20141008-twt09-hillsongpastor	text_auto	prosecuting suspected of allegations that he had abused a child  He was still preaching and in this ministry	13
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	2ba16bc943e4fe8c05c2f1482f17e296	20150223-twt04-rcknoxgrammar	text_auto	Google commission to tell sex of sex abuse is said this morning to the greatest teaches at sydney's christy	14
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	4a9a129b37c070741c5868aee8245d77	20141210-pm09--tasteacher	text_auto	The child abuse  Well commission thought he was dead before the tasmanian teacher accused of sexually	15
