query_id	query	doc_id	audio_filename	summary_type	audio_summary_filename	rank
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	f8d8a7f6b45151cb637a11c876044727	20150212-am02-morrison	audio_metadata_synt	audio_metadata_synt/1_1dcec3da32a806e23dc1c7fb92808ab1_20150212-am02-morrison	1
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	1dcec3da32a806e23dc1c7fb92808ab1	20141128-twt03-childdetentionlive	audio_metadata_synt	audio_metadata_synt/1_1dcec3da32a806e23dc1c7fb92808ab1_20141128-twt03-childdetentionlive	2
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	e0fbd62289cecb6eed2c7b51cde4f777	20150212-pm04-childrendetention	audio_metadata_synt	audio_metadata_synt/1_1dcec3da32a806e23dc1c7fb92808ab1_20150212-pm04-childrendetention	3
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	62fde5590b79c0e253a43949a0245753	20150224-eam02-childrenindetention	audio_metadata_synt	audio_metadata_synt/1_1dcec3da32a806e23dc1c7fb92808ab1_20150224-eam02-childrenindetention	4
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	2b0b018508fae2130ddb3ebf675b08db	150320-pm05-mossreview	audio_metadata_synt	audio_metadata_synt/1_1dcec3da32a806e23dc1c7fb92808ab1_150320-pm05-mossreview	5
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	9f008f4164a7857ef788c24d4ec91a36	20150212-eam01-kidsdetention	audio_metadata_synt	audio_metadata_synt/1_1dcec3da32a806e23dc1c7fb92808ab1_20150212-eam01-kidsdetention	6
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	49a8c6025a77d0a8accac0e8677219a9	20150212-twt04-nauruchildren	audio_metadata_synt	audio_metadata_synt/1_1dcec3da32a806e23dc1c7fb92808ab1_20150212-twt04-nauruchildren	7
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	f5868fb358f8e0c1fed9e32374f7bbe4	20141003-twt01-nauruallegations	audio_metadata_synt	audio_metadata_synt/1_1dcec3da32a806e23dc1c7fb92808ab1_20141003-twt01-nauruallegations	8
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	7bc6bc0a6560f1cb2d2912739edf90c3	20141205-rnpm04-triggsreax	audio_metadata_synt	audio_metadata_synt/1_1dcec3da32a806e23dc1c7fb92808ab1_20141205-rnpm04-triggsreax	9
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	2dc78167c49e69189d7daa76104192f1	20141205-twt02-sasylumchildren	audio_metadata_synt	audio_metadata_synt/1_1dcec3da32a806e23dc1c7fb92808ab1_20141205-twt02-sasylumchildren	10
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	4688d506eea6bfac8b54572c9ec02149	20141029-eam03-koalarescue	audio_metadata_synt	audio_metadata_synt/1_1f3c8f2a57677551eadb2a62706e768a_20141029-eam03-koalarescue	1
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	1f3c8f2a57677551eadb2a62706e768a	20150217-am09-qldresearch	audio_metadata_synt	audio_metadata_synt/1_1f3c8f2a57677551eadb2a62706e768a_20150217-am09-qldresearch	2
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	22f78bcb4675120a50ea7edf23bc77f	20141126-am06-soldiersaver	audio_metadata_synt	audio_metadata_synt/1_1f3c8f2a57677551eadb2a62706e768a_20141126-am06-soldiersaver	3
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	46d7f7c71b7b69231761251f905e7781	20150203-twt09breastcancer	audio_metadata_synt	audio_metadata_synt/1_1f3c8f2a57677551eadb2a62706e768a_20150203-twt09breastcancer	4
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	64396859ae0580d9218bdc487c9d9085	20141111-twt09-sarcomastudy	audio_metadata_synt	audio_metadata_synt/1_1f3c8f2a57677551eadb2a62706e768a_20141111-twt09-sarcomastudy	5
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	2b739bcc1aad5094324f6b38f05c0cfb	20150223-rnam06-strokeresearch	audio_metadata_synt	audio_metadata_synt/1_1f3c8f2a57677551eadb2a62706e768a_20150223-rnam06-strokeresearch	6
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	e6eac228d679e95e8d7cf63f2de8e3db	20150325-pm05-ketaminclinic	audio_metadata_synt	audio_metadata_synt/1_1f3c8f2a57677551eadb2a62706e768a_20150325-pm05-ketaminclinic	7
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	6827bc72f81ebc4308954f60073e435d	20141104-twt11-antiageing	audio_metadata_synt	audio_metadata_synt/1_1f3c8f2a57677551eadb2a62706e768a_20141104-twt11-antiageing	8
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	45ec66b6510edacf5fbc1cfeea2bcc2f	20141024-twt04-cancertrials	audio_metadata_synt	audio_metadata_synt/1_1f3c8f2a57677551eadb2a62706e768a_20141024-twt04-cancertrials	9
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	2265d9a818723967e4f6fe7fe8ece2d7	20150226-twt09-cancergenome	audio_metadata_synt	audio_metadata_synt/1_1f3c8f2a57677551eadb2a62706e768a_20150226-twt09-cancergenome	10
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	9576426f6cc2f5c27705eedf92b1a895	20150212-pm06-roycommthurs	audio_metadata_synt	audio_metadata_synt/0_2ba16bc943e4fe8c05c2f1482f17e296_20150212-pm06-roycommthurs	1
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	e132e3eaddf44c621f2423b2dbf52fa7	20150206-pm09-rcyeshivah	audio_metadata_synt	audio_metadata_synt/0_2ba16bc943e4fe8c05c2f1482f17e296_20150206-pm09-rcyeshivah	2
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	634142628a63309e9c2d0e4719446d10	20150226-twt08-schookidssafety	audio_metadata_synt	audio_metadata_synt/0_2ba16bc943e4fe8c05c2f1482f17e296_20150226-twt08-schookidssafety	3
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	ff5b12051ff7dbfef9bd9dc73fd27b4d	20141121-pm04-frihutchins	audio_metadata_synt	audio_metadata_synt/0_2ba16bc943e4fe8c05c2f1482f17e296_20141121-pm04-frihutchins	4
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	2ba16bc943e4fe8c05c2f1482f17e296	20150223-twt04-rcknoxgrammar	audio_metadata_synt	audio_metadata_synt/0_2ba16bc943e4fe8c05c2f1482f17e296_20150223-twt04-rcknoxgrammar	5
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	1a586a9991812e2e6d296774f4a27975	20150211-twt08-roycomcross	audio_metadata_synt	audio_metadata_synt/0_2ba16bc943e4fe8c05c2f1482f17e296_20150211-twt08-roycomcross	6
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	8835020764dfe271dd4d3a2c809fc7e9	20150226-twt06-rcknoxthurs	audio_metadata_synt	audio_metadata_synt/0_2ba16bc943e4fe8c05c2f1482f17e296_20150226-twt06-rcknoxthurs	7
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	64a46e63773fbe453cd8e6ab04dca690	20150203-pm09-rcyeshivatues	audio_metadata_synt	audio_metadata_synt/0_2ba16bc943e4fe8c05c2f1482f17e296_20150203-pm09-rcyeshivatues	8
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	3055a8cd12412bbf861661b4f37a22a7	20150205-pm05-yeshivahthurs	audio_metadata_synt	audio_metadata_synt/0_2ba16bc943e4fe8c05c2f1482f17e296_20150205-pm05-yeshivahthurs	9
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	76feedc3a84b2c74a104348b2a0e48a3	20130204-twt05-royalcommision	audio_metadata_synt	audio_metadata_synt/0_2ba16bc943e4fe8c05c2f1482f17e296_20130204-twt05-royalcommision	10
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes	c6b446565d5e8b6121846784c8d12c51	20141008-twt02-shanahaniv	audio_metadata_synt	audio_metadata_synt/1_2f21ea19d64dee2c5e77aa22673f9428_20141008-twt02-shanahaniv	1
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes	2f21ea19d64dee2c5e77aa22673f9428	20141008-eam03-kobanefight	audio_metadata_synt	audio_metadata_synt/1_2f21ea19d64dee2c5e77aa22673f9428_20141008-eam03-kobanefight	2
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes	b08cac521a04942210722dc71e0aee5c	20141008-pm05-kobaneturkey	audio_metadata_synt	audio_metadata_synt/1_2f21ea19d64dee2c5e77aa22673f9428_20141008-pm05-kobaneturkey	3
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes	53f3dce0fa6dc131687c942d23a12351	20141009-eam02-kobanekerry	audio_metadata_synt	audio_metadata_synt/1_2f21ea19d64dee2c5e77aa22673f9428_20141009-eam02-kobanekerry	4
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes	c53d7b5a21869cf4b008981173b8f4fa	20141010-rnam02-kobane	audio_metadata_synt	audio_metadata_synt/1_2f21ea19d64dee2c5e77aa22673f9428_20141010-rnam02-kobane	5
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes	f5de72dfddfb4087be9eb2a33bfba13e	20150217-rnam04-libyaegypt	audio_metadata_synt	audio_metadata_synt/1_2f21ea19d64dee2c5e77aa22673f9428_20150217-rnam04-libyaegypt	6
