query_id	query_terms	doc_id	audio_filename	summary_type	summary	rank
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	f8d8a7f6b45151cb637a11c876044727	20150212-am02-morrison	text_metadata	ve inquiry into the wellbeing of children in immigration detention has put the Government on the defensive	1
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	1dcec3da32a806e23dc1c7fb92808ab1	20141128-twt03-childdetentionlive	text_metadata	Immigration Minister has power to release all children from detention immediately, says former chief	2
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	e0fbd62289cecb6eed2c7b51cde4f777	20150212-pm04-childrendetention	text_metadata	after the commission's report into children in immigration detention was tabled in Parliament  The Government	3
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	62fde5590b79c0e253a43949a0245753	20150224-eam02-childrenindetention	text_metadata	Children sexually assaulted in immigration detention  When the Forgotten Children report into immigration	4
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	2b0b018508fae2130ddb3ebf675b08db	150320-pm05-mossreview	text_metadata	Moss review recommends changes for immigration detention on Nauru  A report by the former integrity	5
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	9f008f4164a7857ef788c24d4ec91a36	20150212-eam01-kidsdetention	text_metadata	Children in Immigration Detention inquiry prompts recommendations for a royal commission  The long-awaited	6
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	49a8c6025a77d0a8accac0e8677219a9	20150212-twt04-nauruchildren	text_metadata	on to release all children from immigration detention, including the 119 children in Nauru  It's one	7
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	f5868fb358f8e0c1fed9e32374f7bbe4	20141003-twt01-nauruallegations	text_metadata	accused of coaching Nauru detention centre detainees to self harm  The Immigration Minister Scott Morrison	8
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	7bc6bc0a6560f1cb2d2912739edf90c3	20141205-rnpm04-triggsreax	text_metadata	Children on Nauru to remain in detention with parents  So what of children in detention centres? Under	9
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	2dc78167c49e69189d7daa76104192f1	20141205-twt02-sasylumchildren	text_metadata	calling for the release of 167 children who remain in immigration detention on Nauru	10
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	4688d506eea6bfac8b54572c9ec02149	20141029-eam03-koalarescue	text_metadata	make koala disease breakthrough  Queensland researchers are claiming a breakthrough in the fight to protect	1
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	1f3c8f2a57677551eadb2a62706e768a	20150217-am09-qldresearch	text_metadata	could be key to better treatments for Alzheimer's, arthritis, MS  A Queensland discovery could be the	2
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	22f78bcb4675120a50ea7edf23bc77f	20141126-am06-soldiersaver	text_metadata	a world-first treatment to save soldiers injured in battle  The James Cook University team is developing	3
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	46d7f7c71b7b69231761251f905e7781	20150203-twt09breastcancer	text_metadata	Australian discovery could lead to treatment breakthrough for triple-negative breast cancer  A group	4
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	64396859ae0580d9218bdc487c9d9085	20141111-twt09-sarcomastudy	text_metadata	make breakthrough in sarcoma cancer research  Australian scientists have made a breakthrough in und	5
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	2b739bcc1aad5094324f6b38f05c0cfb	20150223-rnam06-strokeresearch	text_metadata	WA researchers say a breakthrough in stroke treatments could protect people from brain injury  Western	6
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	e6eac228d679e95e8d7cf63f2de8e3db	20150325-pm05-ketaminclinic	text_metadata	party drug ketamine has been heralded as a breakthrough treatment for depression after a number of successful	7
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	6827bc72f81ebc4308954f60073e435d	20141104-twt11-antiageing	text_metadata	another mouse  The researchers are hoping the breakthrough will lead to new drugs which could help people	8
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	45ec66b6510edacf5fbc1cfeea2bcc2f	20141024-twt04-cancertrials	text_metadata	New treatments and drugs for cancer are constantly being developed but behind each breakthrough is a	9
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	2265d9a818723967e4f6fe7fe8ece2d7	20150226-twt09-cancergenome	text_metadata	Medical breakthrough  Australian researchers map the genome for pancreatic cancer  Australian and British	10
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	9576426f6cc2f5c27705eedf92b1a895	20150212-pm06-roycommthurs	text_metadata	principal apologises to school abuse victims  The royal commission into child sex abuse has heard the former	1
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	e132e3eaddf44c621f2423b2dbf52fa7	20150206-pm09-rcyeshivah	text_metadata	didn't know child sex abuse laws  A rabbi at Sydney's Yeshivah centre has told the child sex abuse royal	2
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	634142628a63309e9c2d0e4719446d10	20150226-twt08-schookidssafety	text_metadata	Child sex abuse procedures to be uniform in all Victorian schools  The Victorian Government is implementing	3
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	ff5b12051ff7dbfef9bd9dc73fd27b4d	20141121-pm04-frihutchins	text_metadata	rather than abuse victim's dignity  The royal commission into child sex abuse is examining abuse by at least	4
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	2ba16bc943e4fe8c05c2f1482f17e296	20150223-twt04-rcknoxgrammar	text_metadata	operated at Knox Grammar School  The royal commission into child sex abuse has heard boys at Sydney's	5
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	1a586a9991812e2e6d296774f4a27975	20150211-twt08-roycomcross	text_metadata	treatment of sex abuse victim  The former general manager of a Melbourne Orthodox Jewish school has told	6
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	8835020764dfe271dd4d3a2c809fc7e9	20150226-twt06-rcknoxthurs	text_metadata	Child sex abuse inquiry  Prominent educator questioned about Knox 'balaclava man'  A prominent educator	7
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	64a46e63773fbe453cd8e6ab04dca690	20150203-pm09-rcyeshivatues	text_metadata	College in Melbourne has told the child sex abuse Royal Commission the school covered up the crimes of two	8
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	3055a8cd12412bbf861661b4f37a22a7	20150205-pm05-yeshivahthurs	text_metadata	convicted of child sex offences to stay away from young boys at the Yeshiva Centre and school in Bondi	9
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	76feedc3a84b2c74a104348b2a0e48a3	20130204-twt05-royalcommision	text_metadata	Child abuse victim tells of intimidation by Jewish community after coming forward  A victim of child	10
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes	c6b446565d5e8b6121846784c8d12c51	20141008-twt02-shanahaniv	text_metadata	US airstrikes set back Islamic State  Syrian Kurdish fighters in the besieged town of Kobane say the	1
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes	2f21ea19d64dee2c5e77aa22673f9428	20141008-eam03-kobanefight	text_metadata	Fears Kobane will fall to IS within three days despite airstrikes  The international coalition has launched	2
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes	b08cac521a04942210722dc71e0aee5c	20141008-pm05-kobaneturkey	text_metadata	up attacks on Kobane  The US has stepped up its air attacks on the Syrian city of Kobane on the Turkish	3
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes	53f3dce0fa6dc131687c942d23a12351	20141009-eam02-kobanekerry	text_metadata	Fighting continues in Kobane  US secretary of state John Kerry has defended the role of the international	4
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes	c53d7b5a21869cf4b008981173b8f4fa	20141010-rnam02-kobane	text_metadata	have reportedly taken up to a third of the town of Kobane  Kurdish fighters in the Syrian border crossing	5
