query_terms	preference_comparison	preference_judgment
volcano new zealand	audio_auto vs audio_metadata	automatic
volcano new zealand	audio_auto vs audio_metadata	automatic
volcano new zealand	audio_auto vs audio_metadata	automatic
ebola australia	audio_auto vs audio_metadata	automatic
ebola australia	audio_auto vs audio_metadata	No preference
ebola australia	audio_auto vs audio_metadata	automatic
ebola australia	audio_auto vs audio_metadata	metadata
ebola australia	audio_auto vs audio_metadata	automatic
ebola australia	audio_auto vs audio_metadata	automatic
ebola australia	audio_auto vs audio_metadata	automatic
asylum seekers Immigration	audio_auto vs audio_metadata	metadata
asylum seekers Immigration	audio_auto vs audio_metadata	No preference
asylum seekers Immigration	audio_auto vs audio_metadata	automatic
child sex abuse sydney school	audio_auto vs audio_metadata	automatic
child sex abuse sydney school	audio_auto vs audio_metadata	automatic
child sex abuse sydney school	audio_auto vs audio_metadata	metadata
child sex abuse sydney school	audio_auto vs audio_metadata	automatic
child sex abuse sydney school	audio_auto vs audio_metadata	automatic
child sex abuse sydney school	audio_auto vs audio_metadata	No preference
Renewable Energy Target	audio_auto vs audio_metadata	automatic
Renewable Energy Target	audio_auto vs audio_metadata	metadata
Renewable Energy Target	audio_auto vs audio_metadata	automatic
Renewable Energy Target	audio_auto vs audio_metadata	automatic
air attack to islamic state	audio_auto vs audio_metadata	automatic
air attack to islamic state	audio_auto vs audio_metadata	automatic
air attack to islamic state	audio_auto vs audio_metadata	automatic
air attack to islamic state	audio_auto vs audio_metadata	automatic
air attack to islamic state	audio_auto vs audio_metadata	automatic
air attack to islamic state	audio_auto vs audio_metadata	automatic
air attack to islamic state	audio_auto vs audio_metadata	automatic
air attack to islamic state	audio_auto vs audio_metadata	automatic
productivity commission's report题迨childcare system	audio_auto vs audio_metadata	metadata
productivity commission's report题迨childcare system	audio_auto vs audio_metadata	metadata
productivity commission's report题迨childcare system	audio_auto vs audio_metadata	metadata
productivity commission's report题迨childcare system	audio_auto vs audio_metadata	automatic
productivity commission's report题迨childcare system	audio_auto vs audio_metadata	metadata
floral tribute martin place	audio_auto vs audio_metadata	automatic
floral tribute martin place	audio_auto vs audio_metadata	automatic
floral tribute martin place	audio_auto vs audio_metadata	automatic
floral tribute martin place	audio_auto vs audio_metadata	No preference
floral tribute martin place	audio_auto vs audio_metadata	automatic
free trade china australia	audio_auto vs audio_metadata	No preference
free trade china australia	audio_auto vs audio_metadata	automatic
free trade china australia	audio_auto vs audio_metadata	automatic
free trade china australia	audio_auto vs audio_metadata	metadata
free trade china australia	audio_auto vs audio_metadata	automatic
free trade china australia	audio_auto vs audio_metadata	automatic
free trade china australia	audio_auto vs audio_metadata	automatic
malcolm fraser died	audio_auto vs audio_metadata	metadata
malcolm fraser died	audio_auto vs audio_metadata	automatic
malcolm fraser died	audio_auto vs audio_metadata	automatic
malcolm fraser died	audio_auto vs audio_metadata	automatic
malcolm fraser died	audio_auto vs audio_metadata	automatic
malcolm fraser died	audio_auto vs audio_metadata	automatic
australian arrested in bali to be executed	audio_auto vs audio_metadata	automatic
australian arrested in bali to be executed	audio_auto vs audio_metadata	metadata
australian arrested in bali to be executed	audio_auto vs audio_metadata	automatic
australian arrested in bali to be executed	audio_auto vs audio_metadata	automatic
australian arrested in bali to be executed	audio_auto vs audio_metadata	automatic
australian arrested in bali to be executed	audio_auto vs audio_metadata	automatic
aboriginal women died police custody	audio_auto vs audio_metadata	automatic
aboriginal women died police custody	audio_auto vs audio_metadata	automatic
aboriginal women died police custody	audio_auto vs audio_metadata	automatic
aboriginal women died police custody	audio_auto vs audio_metadata	No preference
aboriginal women died police custody	audio_auto vs audio_metadata	automatic
aboriginal women died police custody	audio_auto vs audio_metadata	automatic
cuba america re-establishing diplomatic relations 	audio_auto vs audio_metadata	metadata
cuba america re-establishing diplomatic relations 	audio_auto vs audio_metadata	metadata
cuba america re-establishing diplomatic relations 	audio_auto vs audio_metadata	metadata
cuba america re-establishing diplomatic relations 	audio_auto vs audio_metadata	metadata
cuba america re-establishing diplomatic relations 	audio_auto vs audio_metadata	metadata
cuba america re-establishing diplomatic relations 	audio_auto vs audio_metadata	metadata
Royal commission Mangrove Mountain Yoga Ashram	audio_auto vs audio_metadata	automatic
Royal commission Mangrove Mountain Yoga Ashram	audio_auto vs audio_metadata	automatic
Royal commission Mangrove Mountain Yoga Ashram	audio_auto vs audio_metadata	automatic
Royal commission Mangrove Mountain Yoga Ashram	audio_auto vs audio_metadata	metadata
Royal commission Mangrove Mountain Yoga Ashram	audio_auto vs audio_metadata	automatic
Royal commission Mangrove Mountain Yoga Ashram	audio_auto vs audio_metadata	automatic
News Corp Nova Peris leaked email	audio_auto vs audio_metadata	metadata
News Corp Nova Peris leaked email	audio_auto vs audio_metadata	metadata
News Corp Nova Peris leaked email	audio_auto vs audio_metadata	No preference
News Corp Nova Peris leaked email	audio_auto vs audio_metadata	metadata
Freedom Ride Perkins	audio_auto vs audio_metadata	automatic
Freedom Ride Perkins	audio_auto vs audio_metadata	metadata
Freedom Ride Perkins	audio_auto vs audio_metadata	metadata
Freedom Ride Perkins	audio_auto vs audio_metadata	metadata
Freedom Ride Perkins	audio_auto vs audio_metadata	automatic
Freedom Ride Perkins	audio_auto vs audio_metadata	automatic
Children in immigration detention centers australia	audio_auto vs audio_metadata	No preference
Children in immigration detention centers australia	audio_auto vs audio_metadata	automatic
Children in immigration detention centers australia	audio_auto vs audio_metadata	automatic
Children in immigration detention centers australia	audio_auto vs audio_metadata	metadata
Children in immigration detention centers australia	audio_auto vs audio_metadata	automatic
Children in immigration detention centers australia	audio_auto vs audio_metadata	automatic
Inflamatory deseases university of queensland treatment breakthrough	audio_auto vs audio_metadata	automatic
Inflamatory deseases university of queensland treatment breakthrough	audio_auto vs audio_metadata	metadata
Inflamatory deseases university of queensland treatment breakthrough	audio_auto vs audio_metadata	No preference
Inflamatory deseases university of queensland treatment breakthrough	audio_auto vs audio_metadata	automatic
Inflamatory deseases university of queensland treatment breakthrough	audio_auto vs audio_metadata	automatic
Inflamatory deseases university of queensland treatment breakthrough	audio_auto vs audio_metadata	metadata
IS extremists Kobane US airstrikes	audio_auto vs audio_metadata	metadata
IS extremists Kobane US airstrikes	audio_auto vs audio_metadata	automatic
IS extremists Kobane US airstrikes	audio_auto vs audio_metadata	metadata
IS extremists Kobane US airstrikes	audio_auto vs audio_metadata	No preference
IS extremists Kobane US airstrikes	audio_auto vs audio_metadata	metadata
