query_terms	preference_comparison	preference_judgment
volcano new zealand	audio_corrected_synt vs. audio_metadata_synt	metadata
volcano new zealand	audio_corrected_synt vs. audio_metadata_synt	corrected
volcano new zealand	audio_corrected_synt vs. audio_metadata_synt	corrected
volcano new zealand	audio_corrected_synt vs. audio_metadata_synt	corrected
volcano new zealand	audio_corrected_synt vs. audio_metadata_synt	No preference
volcano new zealand	audio_corrected_synt vs. audio_metadata_synt	corrected
volcano new zealand	audio_corrected_synt vs. audio_metadata_synt	corrected
volcano new zealand	audio_corrected_synt vs. audio_metadata_synt	No preference
volcano new zealand	audio_corrected_synt vs. audio_metadata_synt	metadata
volcano new zealand	audio_corrected_synt vs. audio_metadata_synt	metadata
volcano new zealand	audio_corrected_synt vs. audio_metadata_synt	corrected
volcano new zealand	audio_corrected_synt vs. audio_metadata_synt	corrected
volcano new zealand	audio_corrected_synt vs. audio_metadata_synt	corrected
ebola australia	audio_corrected_synt vs. audio_metadata_synt	No preference
ebola australia	audio_corrected_synt vs. audio_metadata_synt	metadata
ebola australia	audio_corrected_synt vs. audio_metadata_synt	metadata
ebola australia	audio_corrected_synt vs. audio_metadata_synt	metadata
ebola australia	audio_corrected_synt vs. audio_metadata_synt	corrected
ebola australia	audio_corrected_synt vs. audio_metadata_synt	corrected
ebola australia	audio_corrected_synt vs. audio_metadata_synt	metadata
ebola australia	audio_corrected_synt vs. audio_metadata_synt	metadata
asylum seekers Immigration	audio_corrected_synt vs. audio_metadata_synt	metadata
asylum seekers Immigration	audio_corrected_synt vs. audio_metadata_synt	metadata
asylum seekers Immigration	audio_corrected_synt vs. audio_metadata_synt	metadata
asylum seekers Immigration	audio_corrected_synt vs. audio_metadata_synt	metadata
asylum seekers Immigration	audio_corrected_synt vs. audio_metadata_synt	metadata
asylum seekers Immigration	audio_corrected_synt vs. audio_metadata_synt	corrected
asylum seekers Immigration	audio_corrected_synt vs. audio_metadata_synt	No preference
asylum seekers Immigration	audio_corrected_synt vs. audio_metadata_synt	metadata
asylum seekers Immigration	audio_corrected_synt vs. audio_metadata_synt	corrected
asylum seekers Immigration	audio_corrected_synt vs. audio_metadata_synt	metadata
asylum seekers Immigration	audio_corrected_synt vs. audio_metadata_synt	corrected
asylum seekers Immigration	audio_corrected_synt vs. audio_metadata_synt	corrected
child sex abuse sydney school	audio_corrected_synt vs. audio_metadata_synt	corrected
child sex abuse sydney school	audio_corrected_synt vs. audio_metadata_synt	metadata
child sex abuse sydney school	audio_corrected_synt vs. audio_metadata_synt	corrected
child sex abuse sydney school	audio_corrected_synt vs. audio_metadata_synt	corrected
child sex abuse sydney school	audio_corrected_synt vs. audio_metadata_synt	corrected
child sex abuse sydney school	audio_corrected_synt vs. audio_metadata_synt	corrected
child sex abuse sydney school	audio_corrected_synt vs. audio_metadata_synt	corrected
child sex abuse sydney school	audio_corrected_synt vs. audio_metadata_synt	No preference
child sex abuse sydney school	audio_corrected_synt vs. audio_metadata_synt	No preference
child sex abuse sydney school	audio_corrected_synt vs. audio_metadata_synt	corrected
Renewable Energy Target	audio_corrected_synt vs. audio_metadata_synt	corrected
Renewable Energy Target	audio_corrected_synt vs. audio_metadata_synt	No preference
Renewable Energy Target	audio_corrected_synt vs. audio_metadata_synt	corrected
Renewable Energy Target	audio_corrected_synt vs. audio_metadata_synt	corrected
Renewable Energy Target	audio_corrected_synt vs. audio_metadata_synt	metadata
Renewable Energy Target	audio_corrected_synt vs. audio_metadata_synt	corrected
Renewable Energy Target	audio_corrected_synt vs. audio_metadata_synt	No preference
Renewable Energy Target	audio_corrected_synt vs. audio_metadata_synt	corrected
Renewable Energy Target	audio_corrected_synt vs. audio_metadata_synt	No preference
Renewable Energy Target	audio_corrected_synt vs. audio_metadata_synt	No preference
