query_terms	preference_comparison	preference_judgment
volcano new zealand	audio_auto vs. audio_manual	No preference
volcano new zealand	audio_auto vs. audio_manual	No preference
volcano new zealand	audio_auto vs. audio_manual	automatic
volcano new zealand	audio_auto vs. audio_manual	No preference
volcano new zealand	audio_auto vs. audio_manual	No preference
volcano new zealand	audio_auto vs. audio_manual	No preference
ebola australia	audio_auto vs. audio_manual	automatic
ebola australia	audio_auto vs. audio_manual	automatic
ebola australia	audio_auto vs. audio_manual	automatic
ebola australia	audio_auto vs. audio_manual	automatic
ebola australia	audio_auto vs. audio_manual	automatic
ebola australia	audio_auto vs. audio_manual	automatic
ebola australia	audio_auto vs. audio_manual	automatic
ebola australia	audio_auto vs. audio_manual	automatic
ebola australia	audio_auto vs. audio_manual	automatic
asylum seekers Immigration	audio_auto vs. audio_manual	manual
asylum seekers Immigration	audio_auto vs. audio_manual	automatic
asylum seekers Immigration	audio_auto vs. audio_manual	manual
child sex abuse sydney school	audio_auto vs. audio_manual	No preference
child sex abuse sydney school	audio_auto vs. audio_manual	automatic
child sex abuse sydney school	audio_auto vs. audio_manual	automatic
child sex abuse sydney school	audio_auto vs. audio_manual	automatic
child sex abuse sydney school	audio_auto vs. audio_manual	No preference
child sex abuse sydney school	audio_auto vs. audio_manual	No preference
child sex abuse sydney school	audio_auto vs. audio_manual	No preference
child sex abuse sydney school	audio_auto vs. audio_manual	No preference
Renewable Energy Target	audio_auto vs. audio_manual	automatic
Renewable Energy Target	audio_auto vs. audio_manual	automatic
Renewable Energy Target	audio_auto vs. audio_manual	automatic
Renewable Energy Target	audio_auto vs. audio_manual	automatic
Renewable Energy Target	audio_auto vs. audio_manual	automatic
Renewable Energy Target	audio_auto vs. audio_manual	automatic
air attack to islamic state	audio_auto vs. audio_manual	automatic
air attack to islamic state	audio_auto vs. audio_manual	No preference
air attack to islamic state	audio_auto vs. audio_manual	automatic
air attack to islamic state	audio_auto vs. audio_manual	No preference
productivity commission's report퉌�childcare system	audio_auto vs. audio_manual	manual
productivity commission's report퉌�childcare system	audio_auto vs. audio_manual	manual
productivity commission's report퉌�childcare system	audio_auto vs. audio_manual	automatic
productivity commission's report퉌�childcare system	audio_auto vs. audio_manual	manual
productivity commission's report퉌�childcare system	audio_auto vs. audio_manual	manual
productivity commission's report퉌�childcare system	audio_auto vs. audio_manual	manual
floral tribute martin place	audio_auto vs. audio_manual	automatic
floral tribute martin place	audio_auto vs. audio_manual	automatic
floral tribute martin place	audio_auto vs. audio_manual	automatic
floral tribute martin place	audio_auto vs. audio_manual	automatic
floral tribute martin place	audio_auto vs. audio_manual	automatic
free trade china australia	audio_auto vs. audio_manual	No preference
free trade china australia	audio_auto vs. audio_manual	automatic
free trade china australia	audio_auto vs. audio_manual	No preference
malcolm fraser died	audio_auto vs. audio_manual	manual
malcolm fraser died	audio_auto vs. audio_manual	manual
malcolm fraser died	audio_auto vs. audio_manual	manual
australian arrested in bali to be executed	audio_auto vs. audio_manual	manual
australian arrested in bali to be executed	audio_auto vs. audio_manual	manual
australian arrested in bali to be executed	audio_auto vs. audio_manual	manual
australian arrested in bali to be executed	audio_auto vs. audio_manual	manual
australian arrested in bali to be executed	audio_auto vs. audio_manual	automatic
australian arrested in bali to be executed	audio_auto vs. audio_manual	manual
aboriginal women died police custody	audio_auto vs. audio_manual	No preference
aboriginal women died police custody	audio_auto vs. audio_manual	No preference
aboriginal women died police custody	audio_auto vs. audio_manual	No preference
aboriginal women died police custody	audio_auto vs. audio_manual	No preference
cuba america re-establishing diplomatic relations 	audio_auto vs. audio_manual	manual
cuba america re-establishing diplomatic relations 	audio_auto vs. audio_manual	automatic
cuba america re-establishing diplomatic relations 	audio_auto vs. audio_manual	automatic
cuba america re-establishing diplomatic relations 	audio_auto vs. audio_manual	manual
cuba america re-establishing diplomatic relations 	audio_auto vs. audio_manual	manual
Royal commission Mangrove Mountain Yoga Ashram	audio_auto vs. audio_manual	automatic
Royal commission Mangrove Mountain Yoga Ashram	audio_auto vs. audio_manual	automatic
Royal commission Mangrove Mountain Yoga Ashram	audio_auto vs. audio_manual	automatic
Royal commission Mangrove Mountain Yoga Ashram	audio_auto vs. audio_manual	automatic
News Corp Nova Peris leaked email	audio_auto vs. audio_manual	manual
News Corp Nova Peris leaked email	audio_auto vs. audio_manual	manual
News Corp Nova Peris leaked email	audio_auto vs. audio_manual	manual
News Corp Nova Peris leaked email	audio_auto vs. audio_manual	manual
News Corp Nova Peris leaked email	audio_auto vs. audio_manual	manual
News Corp Nova Peris leaked email	audio_auto vs. audio_manual	manual
Freedom Ride Perkins	audio_auto vs. audio_manual	manual
Freedom Ride Perkins	audio_auto vs. audio_manual	manual
Freedom Ride Perkins	audio_auto vs. audio_manual	manual
Freedom Ride Perkins	audio_auto vs. audio_manual	manual
Children in immigration detention centers australia	audio_auto vs. audio_manual	automatic
Children in immigration detention centers australia	audio_auto vs. audio_manual	automatic
Children in immigration detention centers australia	audio_auto vs. audio_manual	automatic
Children in immigration detention centers australia	audio_auto vs. audio_manual	automatic
Inflamatory deseases university of queensland treatment breakthrough	audio_auto vs. audio_manual	automatic
Inflamatory deseases university of queensland treatment breakthrough	audio_auto vs. audio_manual	manual
Inflamatory deseases university of queensland treatment breakthrough	audio_auto vs. audio_manual	automatic
Inflamatory deseases university of queensland treatment breakthrough	audio_auto vs. audio_manual	No preference
Inflamatory deseases university of queensland treatment breakthrough	audio_auto vs. audio_manual	No preference
IS extremists Kobane US airstrikes	audio_auto vs. audio_manual	manual
IS extremists Kobane US airstrikes	audio_auto vs. audio_manual	manual
IS extremists Kobane US airstrikes	audio_auto vs. audio_manual	manual
IS extremists Kobane US airstrikes	audio_auto vs. audio_manual	manual
IS extremists Kobane US airstrikes	audio_auto vs. audio_manual	automatic
Jim Byrnes trade union commision	audio_auto vs. audio_manual	automatic
Jim Byrnes trade union commision	audio_auto vs. audio_manual	manual
Jim Byrnes trade union commision	audio_auto vs. audio_manual	automatic
Jim Byrnes trade union commision	audio_auto vs. audio_manual	automatic
Jim Byrnes trade union commision	audio_auto vs. audio_manual	automatic
Jim Byrnes trade union commision	audio_auto vs. audio_manual	automatic
Sex abuse New Sounth Wales ashram	audio_auto vs. audio_manual	No preference
