query_id	query	doc_id		filename	summary_type	summary	rank
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	1dcec3da32a806e23dc1c7fb92808ab1		20141128-twt03-childdetentionlive	text_manual	there are more than 700 children in immigration detention facilities in Australia and offshore    Now that	1
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	f8d8a7f6b45151cb637a11c876044727		20150212-am02-morrison	text_manual	call when there are almost 2,000 children in detention  Now the children are pretty much out, people are	2
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	e0fbd62289cecb6eed2c7b51cde4f777		20150212-pm04-childrendetention	text_manual	asylum seeker children, not the Immigration Minister, and that all remaining children in detention and their	3
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	2b0b018508fae2130ddb3ebf675b08db		150320-pm05-mossreview	text_manual	and the Immigration Department to overhaul how abuse claims are handled    The Immigration Department	4
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	62fde5590b79c0e253a43949a0245753		20150224-eam02-childrenindetention	text_manual	When the Forgotten Children report into immigration detention was released recently, it caused	5
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	cc32eb4316f84a73f4da4caa12fe4783		20150325-pm02-nauruinquiry	text_manual	The Australian-funded immigration detention centre on Nauru looks set to be the subject	6
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	9f008f4164a7857ef788c24d4ec91a36		20150212-eam01-kidsdetention	text_manual	Forgotten Children" and it makes for grim reading  Children interviewed describe detention as "prison-like	7
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	70ac5db2126dd9f89ab18e7539a73b22		20141111-twt02-detentionteam	text_manual	SERCO, who operate and manage immigration detention centres both in Australia and offshore like on Nauru	8
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	f5868fb358f8e0c1fed9e32374f7bbe4		20141003-twt01-nauruallegations	text_manual	staff working in the detention centre on Nauru    Ten staff from Save the Children have been accused of	9
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	49a8c6025a77d0a8accac0e8677219a9		20150212-twt04-nauruchildren	text_manual	on to release all children from immigration detention, including the 119 children in Nauru    They say	10
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	4688d506eea6bfac8b54572c9ec02149		20141029-eam03-koalarescue	text_manual	Queensland researchers are claiming a breakthrough in the fight to protect Australia's	1
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	1f3c8f2a57677551eadb2a62706e768a		20150217-am09-qldresearch	text_manual	The researchers say the breakthrough could lead to safer, cheaper treatments    Stephanie Smail reports	2
